source_file	target_file	status	reason
Э/Эротика/Dimm13/0Так получилось.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Dimm13/0Так получилось.zip	copied	
Э/Эротика/Raven04/0Квартирная шлюха.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Raven04/0Квартирная шлюха.zip	copied	
Э/Эротика/Server/Между адом и небесами/01 - Между адом и небесами. Том 1.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Server/Между адом и небесами/01 - Между адом и небесами. Том 1.zip	copied	
Э/Эротика/Server/Между адом и небесами/02 - Между адом и небесами. Том 2.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Server/Между адом и небесами/02 - Между адом и небесами. Том 2.zip	copied	
Э/Эротика/Server/Между адом и небесами/03 - Между адом и небесами. Том 3.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Server/Между адом и небесами/03 - Между адом и небесами. Том 3.zip	copied	
Э/Эротика/Server/Между адом и небесами/0Между адом и небесами.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Server/Между адом и небесами/0Между адом и небесами.zip	copied	
Э/Эротика/SilverVolf/0Много рассказов написано, но этот — без названия.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/SilverVolf/0Много рассказов написано, но этот — без названия.zip	copied	
Э/Эротика/Skjelle/От звезды до звезды/01 - От звезды до звезды.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Skjelle/От звезды до звезды/01 - От звезды до звезды.zip	copied	
Э/Эротика/Skjelle/От звезды до звезды/02 - От звезды до звезды. Колония.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Skjelle/От звезды до звезды/02 - От звезды до звезды. Колония.zip	copied	
Э/Эротика/Skjelle/От звезды до звезды/03 - От звезды до звезды. Беглецы.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Skjelle/От звезды до звезды/03 - От звезды до звезды. Беглецы.zip	copied	
Э/Эротика/Александер Робин/0Глория.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Александер Робин/0Глория.zip	copied	
Э/Эротика/Александер Робин/0Квитанция № 1207.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Александер Робин/0Квитанция № 1207.zip	copied	
Э/Эротика/Александер Робин/0Прыжок.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Александер Робин/0Прыжок.zip	copied	
Э/Эротика/Дарк Эмилия/0Полное погружение в анал.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Дарк Эмилия/0Полное погружение в анал.zip	copied	
Э/Эротика/Дашкова Ольга/100 килограмм/01 - 100 килограмм Страсти.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Дашкова Ольга/100 килограмм/01 - 100 килограмм Страсти.zip	copied	
Э/Эротика/Дашкова Ольга/100 килограмм/02 - 100 килограмм Роскоши.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Дашкова Ольга/100 килограмм/02 - 100 килограмм Роскоши.zip	copied	
Э/Эротика/Дашкова Ольга/100 килограмм/03 - 100 килограмм Соблазна.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Дашкова Ольга/100 килограмм/03 - 100 килограмм Соблазна.zip	copied	
Э/Эротика/Дашкова Ольга/Двойное/01 - Ночная смена. Двойной тариф.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Дашкова Ольга/Двойное/01 - Ночная смена. Двойной тариф.zip	copied	
Э/Эротика/Дашкова Ольга/Двойное/02 - Одна любовь. Двойная месть.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Дашкова Ольга/Двойное/02 - Одна любовь. Двойная месть.zip	copied	
Э/Эротика/Дашкова Ольга/Двойное/03 - Чужая жена. Двойная сделка.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Дашкова Ольга/Двойное/03 - Чужая жена. Двойная сделка.zip	copied	
Э/Эротика/Дашкова Ольга/Двойное/04 - Двойная взлётная.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Дашкова Ольга/Двойное/04 - Двойная взлётная.zip	copied	
Э/Эротика/Дашкова Ольга/Двойное/05 - Двойная взлётная 2.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Дашкова Ольга/Двойное/05 - Двойная взлётная 2.zip	copied	
Э/Эротика/Дашкова Ольга/Двойное/06 - Аукцион невинности. Двойная ставка.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Дашкова Ольга/Двойное/06 - Аукцион невинности. Двойная ставка.zip	copied	
Э/Эротика/Дашкова Ольга/Двойное/07 - Две полоски. Двойная ошибка.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Дашкова Ольга/Двойное/07 - Две полоски. Двойная ошибка.zip	copied	
Э/Эротика/Дашкова Ольга/Двойное/0Бонус `Одна любовь. Двойная месть`.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Дашкова Ольга/Двойное/0Бонус `Одна любовь. Двойная месть`.zip	copied	
Э/Эротика/Дашкова Ольга/Дымовы/01 - Его сладкая девочка.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Дашкова Ольга/Дымовы/01 - Его сладкая девочка.zip	copied	
Э/Эротика/Дашкова Ольга/Дымовы/02 - Его запретная малышка.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Дашкова Ольга/Дымовы/02 - Его запретная малышка.zip	copied	
Э/Эротика/Дашкова Ольга/Дымовы/03 - Охота на олигарха.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Дашкова Ольга/Дымовы/03 - Охота на олигарха.zip	copied	
Э/Эротика/Дашкова Ольга/На грани (Дашкова)/01 - Защитник для Веры.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Дашкова Ольга/На грани (Дашкова)/01 - Защитник для Веры.zip	copied	
Э/Эротика/Дашкова Ольга/На грани (Дашкова)/01 - Обрыв.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Дашкова Ольга/На грани (Дашкова)/01 - Обрыв.zip	copied	
Э/Эротика/Дашкова Ольга/На грани (Дашкова)/02 - Рецидив.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Дашкова Ольга/На грани (Дашкова)/02 - Рецидив.zip	copied	
Э/Эротика/Дашкова Ольга/Пышки/01 - Дровосек для Булочки.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Дашкова Ольга/Пышки/01 - Дровосек для Булочки.zip	copied	
Э/Эротика/Дашкова Ольга/Пышки/013 - Горячий маршрут, или 23 остановки до счастья.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Дашкова Ольга/Пышки/013 - Горячий маршрут, или 23 остановки до счастья.zip	copied	
Э/Эротика/Дашкова Ольга/Пышки/05 - Мистер Багет и Булка с корицей.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Дашкова Ольга/Пышки/05 - Мистер Багет и Булка с корицей.zip	copied	
Э/Эротика/Дашкова Ольга/Сказки для взрослых/02 - Дюймовочка и Великан.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Дашкова Ольга/Сказки для взрослых/02 - Дюймовочка и Великан.zip	copied	
Э/Эротика/Дашкова Ольга/Сказки для взрослых/0SOS Спасите от соседа.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Дашкова Ольга/Сказки для взрослых/0SOS Спасите от соседа.zip	copied	
Э/Эротика/Дашкова Ольга/Сказки для взрослых/0Королева на всю голову.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Дашкова Ольга/Сказки для взрослых/0Королева на всю голову.zip	copied	
Э/Эротика/Десадов Марк/0Амос, сын негра.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Десадов Марк/0Амос, сын негра.zip	copied	
Э/Эротика/Десадов Марк/0Ирен (СИ).zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Десадов Марк/0Ирен (СИ).zip	copied	
Э/Эротика/Десадов Марк/0Негр и белые школьницы (СИ).zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Десадов Марк/0Негр и белые школьницы (СИ).zip	copied	
Э/Эротика/Десадов Марк/0Плёночка-Алёночка.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Десадов Марк/0Плёночка-Алёночка.zip	copied	
Э/Эротика/Десадов Марк/0Ужасная ночь (СИ).zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Десадов Марк/0Ужасная ночь (СИ).zip	copied	
Э/Эротика/Жиглата Кристина/Братья - Змеевы/01 - Три ночи с заключённым.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Жиглата Кристина/Братья - Змеевы/01 - Три ночи с заключённым.zip	copied	
Э/Эротика/Жиглата Кристина/Братья - Змеевы/02 - После трёх ночей с заключённым.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Жиглата Кристина/Братья - Змеевы/02 - После трёх ночей с заключённым.zip	copied	
Э/Эротика/Жиглата Кристина/Братья - Змеевы/04 - Опасный преследователь.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Жиглата Кристина/Братья - Змеевы/04 - Опасный преследователь.zip	copied	
Э/Эротика/Жиглата Кристина/Сестры Ерофеевы/01 - В плену бандита.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Жиглата Кристина/Сестры Ерофеевы/01 - В плену бандита.zip	copied	
Э/Эротика/Жиглата Кристина/Сестры Ерофеевы/02 - За(на) ложница криминального авторитета.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Жиглата Кристина/Сестры Ерофеевы/02 - За(на) ложница криминального авторитета.zip	copied	
Э/Эротика/Жиглата Кристина/Сестры Ерофеевы/03 - Девочка криминального авторитета.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Жиглата Кристина/Сестры Ерофеевы/03 - Девочка криминального авторитета.zip	copied	
Э/Эротика/Жиглата Кристина/Тень за моей спиной/01 - Тень за моей спиной.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Жиглата Кристина/Тень за моей спиной/01 - Тень за моей спиной.zip	copied	
Э/Эротика/Жиглата Кристина/Тень за моей спиной/02 - За моей спиной Он.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Жиглата Кристина/Тень за моей спиной/02 - За моей спиной Он.zip	copied	
Э/Эротика/Жнец Анна/Верхний мир [Жнец]/01 - Рай тебя не спасёт.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Жнец Анна/Верхний мир [Жнец]/01 - Рай тебя не спасёт.zip	copied	
Э/Эротика/Жнец Анна/Верхний мир [Жнец]/02 - Лес за стеной.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Жнец Анна/Верхний мир [Жнец]/02 - Лес за стеной.zip	copied	
